rainfall_mm,rainfall_3day_mm,soil_moisture_pct,slope_deg,elevation_m,risk_probability_pct,risk_level
94.1,113.2,60.5,15.7,1480.0,44.2,MEDIUM
127.6,296.2,91.1,37.2,819.0,77.1,HIGH
82.7,200.7,63.2,59.9,1934.0,64.9,HIGH
74.0,129.9,53.3,10.6,1252.0,29.4,LOW
138.6,261.1,62.5,31.7,368.0,62.5,HIGH
78.9,131.0,37.8,22.5,882.0,33.3,MEDIUM
105.6,218.9,78.2,13.1,1768.0,48.1,MEDIUM
98.5,269.4,77.7,52.5,1899.0,76.8,HIGH
138.5,364.0,92.8,57.5,2439.0,99.1,CRITICAL
64.8,206.4,53.9,21.0,887.0,45.5,MEDIUM
170.8,275.0,90.7,20.8,1774.0,67.7,HIGH
52.8,116.8,44.8,5.5,1533.0,31.9,MEDIUM
110.4,199.8,50.4,37.1,2576.0,57.2,MEDIUM
101.6,255.5,61.4,1.6,2244.0,36.6,MEDIUM
49.0,95.2,63.1,29.8,570.0,42.4,MEDIUM
116.8,186.9,44.7,9.2,2885.0,41.8,MEDIUM
68.6,101.4,36.2,40.3,1195.0,26.7,LOW
36.6,51.4,72.5,55.7,2873.0,47.8,MEDIUM
127.0,182.2,68.6,5.3,999.0,35.6,MEDIUM
25.5,16.3,23.7,46.7,1513.0,25.4,LOW
42.6,94.1,31.1,49.8,1741.0,39.1,MEDIUM
82.0,182.4,37.3,10.6,378.0,32.2,MEDIUM
137.9,228.9,65.5,55.4,2204.0,63.6,HIGH
121.8,294.1,82.9,37.3,493.0,84.2,CRITICAL
93.1,183.2,75.7,32.1,660.0,68.3,HIGH
18.2,54.2,15.4,40.3,1013.0,25.5,LOW
50.9,66.1,24.0,17.3,2890.0,28.5,LOW
60.1,104.7,44.3,1.5,2925.0,36.4,MEDIUM
35.1,59.0,72.3,26.5,1570.0,27.0,LOW
13.6,4.8,41.4,44.6,1693.0,43.2,MEDIUM
84.9,163.7,59.0,55.1,793.0,50.3,MEDIUM
124.4,332.6,65.2,25.8,1371.0,55.8,MEDIUM
56.5,105.2,20.3,15.8,2956.0,26.6,LOW
136.7,282.4,72.8,7.9,2414.0,51.1,MEDIUM
22.6,51.7,36.6,56.1,2153.0,32.3,MEDIUM
